model,fold,epoch,train_loss,train_acc,val_loss,val_acc
EfficientNet,0,2,0.6605030620799345,0.9419117647058823,0.5335382317094242,0.9935294117647059
EfficientNet,0,3,0.6077774283465217,0.9626470588235294,0.5242300454308005,0.9947058823529412
EfficientNet,0,4,0.5756848280570086,0.9738235294117648,0.5175848158668069,0.9958823529411764
EfficientNet,0,5,0.5678881575079525,0.9753676470588235,0.5236681635239545,0.995
EfficientNet,0,6,0.5527221275778378,0.981985294117647,0.5126068314384011,0.9964705882352941
EfficientNet,0,7,0.5447790907411014,0.9844852941176471,0.5073777817277347,0.9988235294117647
EfficientNet,0,8,0.536079449373133,0.9873529411764705,0.5078768525404088,0.9988235294117647
EfficientNet,0,9,0.5322792685733122,0.9892647058823529,0.5067160705959096,0.9988235294117647
EfficientNet,0,10,0.5278071353014777,0.9908088235294118,0.5059388110216926,0.9985294117647059
EfficientNet,0,11,0.5215849841342253,0.9929411764705882,0.5052300144644345,0.9988235294117647
EfficientNet,0,12,0.5189756390627692,0.9936029411764706,0.5043052793951596,0.9988235294117647
EfficientNet,0,13,0.5213959036153906,0.9927941176470588,0.5037795357143178,0.9988235294117647
EfficientNet,0,14,0.5204505819432875,0.9927941176470588,0.5037538259169635,0.9991176470588236
EfficientNet,0,15,0.5180739561249228,0.99375,0.5037756163933698,0.9988235294117647
EfficientNet,1,1,1.2447262822880465,0.6864705882352942,0.5725980423478519,0.9758823529411764
EfficientNet,1,2,0.6779741671506097,0.9334558823529412,0.5504569552926456,0.9879411764705882
EfficientNet,1,3,0.6079258483998916,0.9618382352941176,0.5315963527735542,0.9911764705882353
EfficientNet,1,4,0.5789171768637265,0.9721323529411765,0.5462036487635444,0.9820588235294118
EfficientNet,1,5,0.5638394857855404,0.9777941176470588,0.514308792703292,0.9967647058823529
EfficientNet,1,6,0.5563233567686642,0.9811029411764706,0.5137269411367529,0.9955882352941177
EfficientNet,1,7,0.5446489830578075,0.985,0.5140226745605468,0.9961764705882353
EfficientNet,1,8,0.5379884510881761,0.9872058823529412,0.5069333337335026,0.9979411764705882
EfficientNet,1,9,0.5332866842606488,0.9882352941176471,0.5064576499602373,0.9985294117647059
EfficientNet,1,10,0.5243198704719544,0.9923529411764705,0.5037239656728857,0.9988235294117647
EfficientNet,1,11,0.5234139895439148,0.991985294117647,0.5048666820806615,0.9988235294117647
EfficientNet,1,12,0.5206676955784069,0.9929411764705882,0.5040526945450726,0.9985294117647059
EfficientNet,1,13,0.5183368703898261,0.9940441176470588,0.5040448929281796,0.9985294117647059
EfficientNet,1,14,0.5211314815633438,0.9934558823529411,0.504244900450987,0.9985294117647059
EfficientNet,1,15,0.5150886473936193,0.9952205882352941,0.5038543350556317,0.9985294117647059
EfficientNet,2,1,1.294232107330771,0.6605882352941177,0.5953134385277243,0.9758823529411764
EfficientNet,2,2,0.6653680034244762,0.9382352941176471,0.5450175694858327,0.9876470588235294
EfficientNet,2,3,0.6052069096004262,0.9630882352941177,0.5191626537547392,0.9961764705882353
EfficientNet,2,4,0.5733910864942214,0.9738970588235294,0.5195896597469554,0.995
EfficientNet,2,5,0.5672194887610043,0.9770588235294118,0.5182588379523333,0.9970588235294118
EfficientNet,2,6,0.5476918094298419,0.9847794117647058,0.5114576763265273,0.9964705882352941
EfficientNet,2,7,0.5426556598438936,0.9853676470588235,0.5112729685446795,0.9976470588235294
EfficientNet,2,8,0.5395544228834265,0.9866911764705882,0.510572700921227,0.9970588235294118
EfficientNet,2,9,0.5295828050725601,0.990735294117647,0.5110322880744934,0.9979411764705882
EfficientNet,2,10,0.5295685243606567,0.9888235294117647,0.5085869745647206,0.9970588235294118
EfficientNet,2,11,0.5214950133772457,0.9929411764705882,0.5071120824533351,0.9973529411764706
EfficientNet,2,12,0.5211541948598973,0.9922794117647059,0.5079057278352626,0.9973529411764706
EfficientNet,2,13,0.5186954071942498,0.9938235294117647,0.5064716588749605,0.9976470588235294
EfficientNet,2,14,0.5198141142901253,0.9933088235294117,0.5059094264928032,0.9976470588235294
EfficientNet,2,15,0.5181194275968215,0.9942647058823529,0.5054381841771742,0.9979411764705882
EfficientNet,3,1,1.2536268049127914,0.6803676470588236,0.5899054093921886,0.9770588235294118
EfficientNet,3,2,0.6768095679844127,0.9347794117647059,0.5432879680745741,0.9891176470588235
EfficientNet,3,3,0.6000925912576563,0.9630147058823529,0.5205481173010433,0.9947058823529412
EfficientNet,3,4,0.5785491096272188,0.9713970588235294,0.5312274761760936,0.9932352941176471
EfficientNet,3,5,0.5619136723350077,0.9795588235294118,0.5156867882784675,0.9964705882352941
EfficientNet,3,6,0.5478970953997444,0.9830882352941176,0.5139718813054702,0.9955882352941177
EfficientNet,3,7,0.543115205484278,0.9860294117647059,0.5098992241130156,0.9967647058823529
EfficientNet,3,8,0.5336229376231922,0.9893382352941177,0.5083463633761687,0.9979411764705882
EfficientNet,3,9,0.5302786299761604,0.9889705882352942,0.5066470987656537,0.9985294117647059
EfficientNet,3,10,0.5280886289652656,0.9911764705882353,0.5087681729653303,0.9982352941176471
EfficientNet,3,11,0.5229818853210001,0.9922794117647059,0.5060743101905374,0.9982352941176471
EfficientNet,3,12,0.5224057483673096,0.9922794117647059,0.5043584021400003,0.9991176470588236
EfficientNet,3,13,0.5189085001104018,0.9934558823529411,0.5040553320155424,0.9991176470588236
EfficientNet,3,14,0.5200801070998696,0.9933088235294117,0.5037091790928561,0.9991176470588236
